MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
81,20,2,0,3,1,0,2,1,16,7,2,5,5,13,10,3,1,0,0,0,0.8915888520999999,0.7887889879000001,0.4166666666666667,0.3333333333333333
82,3,7,4,2,0,1,1,2,14,16,8,5,13,16,6,6,2,3,0,0,1.056020968531,1.031128332169,0.3333333333333333,0.5833333333333334
83,17,9,2,1,0,2,0,0,5,9,3,3,10,12,4,7,4,2,0,0,1.1543023506310002,1.029158110069,0.16666666666666666,0.8333333333333334
84,19,12,3,0,0,1,0,0,15,6,10,0,10,6,4,5,2,3,0,0,2.2024246993000003,1.0719900907000002,1.0,0.5
85,10,4,1,0,0,0,0,2,7,10,3,0,12,14,3,5,4,2,0,0,1.1290838593,0.13501251069999998,0.4166666666666667,0.25
86,6,8,1,0,0,0,0,2,20,7,6,2,10,8,8,3,0,1,0,0,0.7613061192999999,0.40001479,0.3333333333333333,0.25
87,15,11,1,2,1,0,2,1,10,7,2,3,17,10,8,3,0,1,0,0,0.8749678807000001,0.6324655393,0.25,0.3333333333333333
88,16,13,1,2,1,0,1,1,19,11,4,6,6,9,7,6,0,1,0,0,0.39853342,0.90074821,0.3333333333333333,0.25
89,5,1,2,5,1,1,1,2,8,30,3,14,14,14,0,7,1,1,1,0,0.4665134892999999,0.6523865107,0.3333333333333333,0.5833333333333334
90,18,14,4,1,0,3,1,0,14,12,6,7,2,8,3,5,0,1,0,0,1.4311951072,0.6784345227999999,0.8333333333333334,0.5
91,1,16,2,1,0,0,1,1,17,4,5,2,9,9,5,2,0,0,0,0,2.2630444321,0.4987777279,0.75,0.25
92,11,3,0,1,1,0,0,2,7,18,1,5,5,5,5,5,2,0,0,0,0.4724889379,1.7119444321,0.3333333333333333,0.5
93,4,20,2,2,2,0,2,1,19,6,9,2,18,15,11,2,1,2,0,0,0.912400157131,0.7919197735689999,0.25,0.3333333333333333
94,14,17,3,0,0,0,0,2,16,1,8,0,10,8,9,2,0,1,0,0,1.6672135393,0.40001479,0.4166666666666667,0.3333333333333333
95,9,18,1,0,0,0,0,2,11,13,3,4,12,14,6,3,1,0,0,0,2.7171122386000004,1.7169469713999999,0.5833333333333334,1.0
96,7,15,0,1,1,0,1,1,13,6,0,2,10,9,8,1,4,4,0,0,0.5394764893,0.6642457207,0.5833333333333334,0.25
97,8,19,2,3,1,1,2,1,6,15,4,5,10,7,1,2,2,3,0,0,0.794973947131,2.506702542169,0.16666666666666666,1.0
98,2,6,1,1,2,0,1,1,7,6,2,1,9,10,2,7,3,1,0,0,1.0069727614,0.9233642385999998,0.5833333333333334,0.3333333333333333
99,13,5,2,0,0,2,0,0,9,16,3,2,6,10,3,10,0,2,0,0,0.8490714607000001,0.5117063292999999,0.4166666666666667,0.3333333333333333
100,12,10,1,0,0,0,0,2,12,12,5,5,9,10,5,3,3,0,0,0,0.976352889931,0.389206270069,0.4166666666666667,0.4166666666666667
101,17,8,1,0,0,1,0,0,7,9,3,3,8,15,3,5,1,4,1,0,1.2863072313310002,0.2680099093,0.25,0.16666666666666666
102,10,11,0,1,1,0,0,2,16,16,4,6,11,12,11,9,2,2,0,0,0.7564861857310001,1.005063212869,0.4166666666666667,0.3333333333333333
103,6,12,0,1,1,0,0,2,13,5,3,1,4,4,9,1,0,0,0,0,0.510075099931,1.323221110069,0.4166666666666667,0.5833333333333334
104,15,13,2,2,2,1,1,2,11,14,7,4,12,8,4,10,0,0,0,0,0.883475389369,0.8922407013310001,0.5,0.6666666666666666
105,16,2,0,1,1,0,1,1,12,5,2,2,13,12,8,7,2,1,0,0,0.2670173914,0.9203050165000001,0.25,0.4166666666666667
